model,alpha,alpha_se,beta,beta_se,"Wald(α=0,β=1)",p-value,R²,bias_comp,regr_comp,disturb_comp,ticker
HAR,-4.435561299530786e-05,4.835725618337123e-05,1.5807007227107086,0.37976200950252176,13.951898738520097,0.0009340791602984178,0.5575712892356208,2.8547731252555205e-09,1.421354136986232e-08,8.356795370817676e-08,JPM
LogHAR,-0.00015582586005952371,8.506811054855251e-05,2.371467505966635,0.643779022887107,12.65511658166676,0.0017863902938094478,0.5134650169805987,3.915742501948014e-09,3.243724894332148e-08,9.189894767029987e-08,JPM
LevHAR,-9.961076014498829e-05,5.709857234662629e-05,1.9854582766684161,0.44810822438032083,14.840475533575606,0.0005990067046810488,0.5691346866728992,3.591465667341483e-09,2.6482956893178616e-08,8.138380643600233e-08,JPM
SHAR,-4.254176085406541e-05,4.769316238261122e-05,1.5702203613337997,0.3790157303338124,13.572683515876992,0.001129091719029529,0.538482070999553,2.8581112833068382e-09,1.3413185979556177e-08,8.717361235343266e-08,JPM
HARQ,-0.00010704090225693647,8.111548204512552e-05,2.013139107359157,0.6068085399910713,18.35502837394683,0.0001033370908268827,0.5274060260095301,3.4180472255374624e-09,2.5230865087452872e-08,8.926570627156194e-08,JPM
HAR-X,-0.000249995022275178,7.992723007054685e-05,2.5833149725055735,0.5131274321407927,9.818912035846925,0.0073764999238981055,0.5972992305098133,1.5352490383973493e-09,4.238072055108907e-08,7.606395888020333e-08,JPM
RR,-0.00023795350895534993,7.935570746484519e-05,2.537289546370952,0.5154106617460864,8.991784550350753,0.01115472309084986,0.609389600065473,1.6495820684572434e-09,4.225350999733078e-08,7.378027470971505e-08,JPM
LA,-0.00033649000729058583,9.442719551218425e-05,3.254570718038628,0.6279259373188245,12.9082894849542,0.0015739848684391822,0.6356226217228449,2.527615957418472e-09,5.761507214376463e-08,6.882526187679705e-08,JPM
EN,-0.0002893571138413452,8.366031781164576e-05,2.8567808573683853,0.5408406571030132,11.968676669249888,0.0025178791608944096,0.6394145396364008,1.8393001534036984e-09,5.1020700757075144e-08,6.81090271186194e-08,JPM
P-LA,-0.0002482405697104219,7.438245261300469e-05,2.505646474215132,0.46542262234064646,11.675745480630827,0.0029150370757251576,0.6436831953360469,1.171082196133485e-09,4.390106627822895e-08,6.730274395203218e-08,JPM
A-LA,0.0002218226493712158,,2.3747198018290556e-08,,7.4857382315639285,0.02368604753550163,-2.220446049250313e-16,1.3171640529817596e-08,6.4934556442826665e-40,1.888845630379579e-07,JPM
BG,-0.0003108101777517475,0.0001519926967946451,3.0516148680436053,1.0015345394054462,4.196268286982547,0.12268512767047157,0.2976697908615049,2.2355261303838597e-09,2.5413440202496496e-08,1.3265933466148222e-07,JPM
RF,-0.0002783411731485439,0.00012968246783790098,2.9221600930564446,0.9047550357097568,4.700289120450201,0.09535537662444016,0.2263655123020979,2.5664649258401754e-09,1.850025986331962e-08,1.4612761215991264e-07,JPM
GB,-0.0004142784127823065,0.0001802050846413154,3.912452786411133,1.2446850499149247,5.907985004878007,0.05213115613961161,0.3214298546899329,3.509252981511427e-09,3.364358334286566e-08,1.2817142538749563e-07,JPM
NN1_ensemble,-0.0002709562610348825,0.00011540352470456477,3.432953384169361,0.8907963914490158,14.523356840250294,0.000701928914736305,0.4661509625860404,6.127590561380377e-09,4.422367344206575e-08,1.0083584216017021e-07,JPM
NN2_ensemble,-0.000378451305200181,0.00020719792837727341,4.227869207640893,1.5747718971555806,11.1518911649517,0.0037878921237752827,0.33833355191399717,6.374808008506589e-09,3.7250345439530776e-08,1.249785779236023e-07,JPM
NN3_ensemble,-0.000298552138739564,0.00015493240340463168,3.595183745934913,1.1704682170933236,11.277049710080746,0.0035581132696588247,0.38693156012964136,5.941396673412416e-09,3.808243083663135e-08,1.1579916437727523e-07,JPM
NN4_ensemble,-0.0003624250531433348,0.00018270952687185927,4.169570567155353,1.4161025657057305,11.754883951565084,0.002801943555076458,0.3481216817823466,6.6750303022499155e-09,3.79966871137081e-08,1.2312975129046032e-07,JPM
