model,alpha,alpha_se,beta,beta_se,"Wald(α=0,β=1)",p-value,R²,bias_comp,regr_comp,disturb_comp,ticker
SHAR,5.4442431478284496e-05,1.1199488140824798e-05,0.33192350696285106,0.05823325796126311,351.39258040260154,0.0,0.07425353076956454,2.6500779164971187e-09,5.455489700917676e-10,1.6789290138746933e-09,JPM
HARQ,8.424024729772542e-05,6.8778119791094e-06,0.15335655747615823,0.03179204061275163,866.4995059094379,0.0,0.06970802169527635,1.7459934265800239e-09,3.8531811199428966e-09,1.6871727256481739e-09,JPM
HAR-X,8.16035203615923e-05,6.639468975699706e-06,0.1760769244993732,0.0426070257637382,390.1709562613936,0.0,0.10954138334185104,1.4101881763883833e-09,4.349976751026226e-09,1.6149311467586616e-09,JPM
RR,8.203403661006752e-05,6.56700265870371e-06,0.17235912096286632,0.040081430367635076,448.4398279595227,0.0,0.10099159989339901,1.4572665033876843e-09,4.223192209253717e-09,1.6304369898496804e-09,JPM
LA,-9.101657751051367e-06,2.538870415853489e-05,0.7084075952646781,0.16086554413332077,188.35265350274557,0.0,0.1579196949972982,3.2397673793082456e-09,4.8524666999575556e-11,1.5271924906791816e-09,JPM
EN,-1.934851501154204e-05,2.7632470382864406e-05,0.7628104176840061,0.1728537080527965,202.88726400741226,0.0,0.15767109906027077,3.4405998004328866e-09,2.764714908195887e-11,1.5276433429862427e-09,JPM
P-LA,6.206327471181096e-05,9.89018825676882e-06,0.3305697919363883,0.07623646538658758,95.94322967687577,0.0,0.15965749287795794,8.453272839915036e-10,1.187445971159818e-09,1.5240408294208727e-09,JPM
A-LA,0.00010706781215177187,198.53433472000245,2.0127779078000103e-08,0.0,5.10651476342645e-13,0.9999999999997446,2.220446049250313e-16,6.54855265508117e-09,2.017611378665235e-39,1.81359483365934e-09,JPM
BG,0.00011055992317893943,5.43893955613599e-06,-0.01887591851730415,0.006959183610097309,28974.319282763387,0.0,0.011432958563883822,6.073939900091842e-09,6.041229117112007e-08,1.7928600790744392e-09,JPM
RF,0.00010994662347335619,5.978186627171133e-06,-0.0172727026816399,0.020220776816494195,2746.978926614982,0.0,0.0032853131064427554,3.5521869589824318e-09,2.0666704174573246e-08,1.8076366067825424e-09,JPM
GB,0.00012074849494323913,9.714037697029223e-06,-0.07895841072397157,0.04447648810267814,915.3160095387248,0.0,0.005415567090016782,4.381983296045459e-09,1.8339894092432867e-09,1.8037731891635504e-09,JPM
NN1_ensemble,6.162482414212033e-05,1.071068792722677e-05,0.30729787509063333,0.07533940626140644,134.18146316987594,0.0,0.13074554816198491,1.6655764701790366e-09,1.2048725370509333e-09,1.576475382988806e-09,JPM
NN1_top1,5.9426627539807665e-05,1.368589038080703e-05,0.3162172995074125,0.09636362801352374,115.32261787191034,0.0,0.12762040373648809,1.9002481978326215e-09,1.0822444101944139e-09,1.5821431287733265e-09,JPM
NN2_ensemble,5.626050511657535e-05,1.2456257222673415e-05,0.34013477699604344,0.08803801456427471,115.51396028315249,0.0,0.12766989359621628,1.7898178470108642e-09,8.714393563371241e-10,1.5820533742194047e-09,JPM
NN2_top1,7.774945241376737e-05,1.0025523037542003e-05,0.18393420227992252,0.06579352476944778,216.78595811587556,0.0,0.06015970080697797,2.738231686899433e-09,2.1476885623626258e-09,1.7044895110813135e-09,JPM
NN3_ensemble,4.390520676287413e-05,1.923187224189976e-05,0.43039129918544444,0.14157129109176206,79.99508743589162,0.0,0.10505382382744533,1.5751710739803336e-09,3.3371705152664366e-10,1.6230697615097267e-09,JPM
NN3_top1,6.907481790291661e-05,1.0023850838672756e-05,0.2784784612447971,0.07904547833787952,96.53030624254826,0.0,0.11973844905383979,8.621761411349023e-10,1.4577709033914098e-09,1.5964378010649144e-09,JPM
NN4_ensemble,-1.7820934330093283e-05,5.926447366316285e-05,0.7107820207883617,0.3453431944362147,240.28343647018812,0.0,0.04139375238605758,4.711216635585396e-09,1.2429474693499255e-11,1.7385233381862124e-09,JPM
NN4_top1,0.00010706781149416366,297.2169291505772,2.1806791711073423e-08,1630231.0984001998,446.6689216217487,0.0,2.220446049250313e-16,9.33250626148782e-09,9.957350936383527e-39,1.81359483365934e-09,JPM
